Customer_id,product_category,purchase_amount,income,satisfaction_score,purchase_date,transaction
PO_2058,SEO,20515,47716,2,15-01-2023,UPI
PO_2059,App Development,3895,10315,3,07-10-2023,Bank Transfer
PO_2060,Election Campaign,5046,13873,6,25-04-2024,UPI
PO_2061,SEO,2908,8679,4,16-01-2023,Bank Transfer
PO_2062,LOGO DESIGN,8066,23397,3,22-04-2024,Bank Transfer
PO_2063,Web Development,13341,34677,6,10-02-2024,Cash
PO_2064,Election Campaign,6020,19249,5,23-09-2023,Bank Transfer
PO_2065,LOGO DESIGN,2301,7346,5,05-12-2023,Bank Transfer
PO_2066,Web Development,3708,9888,4,16-01-2023,Cash
PO_2067,Election Campaign,12038,33549,6,20-03-2024,Bank Transfer
PO_2068,SEO,8146,22871,6,21-06-2023,Bank Transfer
PO_2069,Election Campaign,13002,43035,5,11-04-2023,Cash
PO_2070,Web Development,6617,17226,4,25-03-2023,Cash
PO_2071,LOGO DESIGN,8973,40025,4,02-07-2023,Bank Transfer
PO_2072,App Development,20296,49144,3,18-03-2024,UPI
PO_2073,LOGO DESIGN,5486,17948,6,22-04-2024,Cash
PO_2074,Software Development,10110,30376,5,01-04-2023,Cash
PO_2075,Election Campaign,11083,31926,5,27-01-2024,Bank Transfer
PO_2076,SEO,2939,8133,5,27-03-2023,UPI
PO_2077,SEO,4059,12930,3,10-05-2024,UPI
PO_2078,App Development,2916,13114,5,08-10-2023,Bank Transfer
PO_2079,Election Campaign,9814,29452,5,15-04-2024,Bank Transfer
PO_2080,Web Development,9535,32324,4,18-03-2024,Cash
PO_2081,Election Campaign,9536,24706,3,12-03-2024,Bank Transfer
PO_2082,SEO,2236,5778,5,25-01-2024,Bank Transfer
PO_2083,LOGO DESIGN,3542,12977,5,22-06-2024,UPI
PO_2084,Election Campaign,18843,43758,5,30-01-2024,UPI
PO_2085,Web Development,12915,49741,5,15-05-2023,Bank Transfer
PO_2086,Software Development,2101,6994,7,22-03-2024,Cash
PO_2087,Election Campaign,5398,14104,5,14-11-2023,Cash
PO_2088,LOGO DESIGN,9408,32621,4,09-08-2023,UPI
PO_2089,SEO,13186,40520,3,11-02-2023,UPI
PO_2090,App Development,11223,40735,3,29-01-2023,UPI
PO_2091,SEO,6960,19281,7,03-06-2023,Cash
PO_2092,App Development,11462,40219,6,15-07-2023,Cash
PO_2093,App Development,6759,18963,6,03-02-2024,Bank Transfer
PO_2094,Software Development,9433,25836,6,07-01-2024,Cash
PO_2095,LOGO DESIGN,2115,6161,6,07-01-2024,UPI
PO_2096,Software Development,2441,9697,6,22-03-2024,Bank Transfer
PO_2097,Software Development,10354,35606,6,09-01-2024,Cash
PO_2098,Web Development,2387,6856,6,28-06-2023,Cash
PO_2099,Web Development,1676,5135,4,21-08-2023,Cash
PO_2100,SEO,1728,6158,6,11-01-2024,Bank Transfer
PO_2101,Election Campaign,10705,29170,7,31-03-2023,Bank Transfer
PO_2102,App Development,15266,34887,4,22-01-2023,Cash
PO_2103,Web Development,5272,14391,6,30-12-2023,Bank Transfer
PO_2104,LOGO DESIGN,1568,5048,4,19-11-2023,Bank Transfer
PO_2105,Software Development,10044,27404,5,23-06-2023,UPI
PO_2106,LOGO DESIGN,1984,6752,4,29-05-2023,UPI
PO_2107,LOGO DESIGN,3001,7829,5,30-03-2024,UPI
PO_2108,Election Campaign,11216,38461,3,20-07-2023,Cash
PO_2109,App Development,9438,27443,6,12-02-2024,Bank Transfer
PO_2110,Web Development,15534,46718,5,26-01-2023,Bank Transfer
PO_2111,Software Development,18507,47622,4,02-09-2023,Bank Transfer
PO_2112,Software Development,8568,21874,5,13-12-2023,UPI
PO_2113,SEO,9744,30137,5,19-06-2023,Bank Transfer
PO_2114,Election Campaign,4762,14535,5,25-05-2023,UPI
PO_2115,LOGO DESIGN,4289,9883,6,28-04-2023,Cash
PO_2116,App Development,19903,49578,5,25-07-2023,Bank Transfer
PO_2117,Election Campaign,9083,25071,5,04-05-2024,UPI
PO_2118,Election Campaign,10879,22192,5,06-03-2024,Bank Transfer
PO_2119,Software Development,4327,13379,4,18-05-2024,Cash
PO_2120,App Development,8860,18915,6,19-09-2023,Cash
PO_2121,Web Development,10755,29125,5,19-03-2023,UPI
PO_2122,Software Development,6518,21349,5,30-10-2023,Cash
PO_2123,Web Development,10395,36299,5,28-07-2023,UPI
PO_2124,Web Development,1888,6872,4,13-02-2024,Cash
PO_2125,Web Development,20447,46609,5,20-07-2023,Cash
PO_2126,Software Development,7882,25134,4,27-06-2023,Bank Transfer
PO_2127,Software Development,17394,43862,7,23-10-2023,UPI
PO_2128,SEO,13669,31711,6,20-06-2023,UPI
PO_2129,App Development,3227,13509,4,07-05-2024,UPI
PO_2130,SEO,9690,28429,7,28-07-2023,Bank Transfer
PO_2131,Web Development,7785,17591,6,14-02-2024,Bank Transfer
PO_2132,Software Development,11395,37908,5,04-03-2023,Bank Transfer
PO_2133,Software Development,10343,31044,5,08-06-2023,UPI
PO_2134,LOGO DESIGN,13781,38758,4,03-02-2023,Bank Transfer
PO_2135,Election Campaign,11408,38467,4,25-01-2024,Cash
PO_2136,LOGO DESIGN,9936,22988,6,07-12-2023,Bank Transfer
PO_2137,SEO,9547,26627,4,15-09-2023,Cash
PO_2138,Software Development,10766,31265,4,07-12-2023,UPI
PO_2139,Web Development,17373,47194,6,04-01-2024,Cash
PO_2140,Web Development,15874,42676,6,18-06-2024,UPI
PO_2141,App Development,6098,17214,5,01-06-2023,Cash
PO_2142,LOGO DESIGN,13441,42627,6,03-11-2023,Bank Transfer
PO_2143,App Development,18931,44764,4,26-07-2023,Bank Transfer
PO_2144,App Development,13086,33907,5,24-04-2024,Cash
PO_2145,Election Campaign,11515,32419,4,14-02-2024,Bank Transfer
PO_2146,Software Development,13114,39265,4,10-11-2023,Bank Transfer
PO_2147,Web Development,19674,48577,7,28-03-2023,Cash
PO_2148,Web Development,12844,32069,5,10-02-2023,Cash
PO_2149,Software Development,6937,16736,5,15-02-2024,Bank Transfer
PO_2150,LOGO DESIGN,3085,8854,4,15-02-2023,Bank Transfer
PO_2151,LOGO DESIGN,10573,26603,5,16-04-2024,Bank Transfer
PO_2152,Election Campaign,9307,26110,6,24-06-2024,Cash
PO_2153,Web Development,3330,11871,5,05-01-2023,Cash
PO_2154,Election Campaign,14639,41283,4,01-06-2023,UPI
PO_2155,Web Development,10921,31916,6,24-12-2023,Bank Transfer
PO_2156,Web Development,3966,10545,4,14-04-2023,Bank Transfer
PO_2157,App Development,11283,34940,7,22-04-2024,Bank Transfer
PO_2158,Web Development,16513,43623,5,10-11-2023,UPI
PO_2159,SEO,12462,28363,7,11-02-2024,Bank Transfer
PO_2160,Software Development,4345,9764,5,28-11-2023,Bank Transfer
PO_2161,SEO,11767,42574,3,20-10-2023,UPI
PO_2162,LOGO DESIGN,7435,26516,2,25-01-2024,UPI
PO_2163,Election Campaign,6986,19371,4,06-04-2024,UPI
PO_2164,Web Development,18143,46160,4,08-05-2023,Cash
PO_2165,LOGO DESIGN,2659,9172,6,10-06-2023,Bank Transfer
PO_2166,Election Campaign,4785,14199,5,28-07-2023,Bank Transfer
PO_2167,LOGO DESIGN,13142,41493,6,05-03-2024,Cash
PO_2168,SEO,16278,44178,6,29-02-2024,Cash
PO_2169,Election Campaign,12272,41456,4,10-10-2023,UPI
PO_2170,LOGO DESIGN,5900,20873,5,16-10-2023,UPI
PO_2171,Software Development,13751,41943,5,09-03-2023,Bank Transfer
PO_2172,Software Development,14141,33403,4,09-02-2024,Bank Transfer
PO_2173,Software Development,15514,39944,4,14-01-2023,UPI
PO_2174,App Development,3995,12925,6,20-01-2023,UPI
PO_2175,SEO,12657,48053,4,29-05-2023,Cash
PO_2176,Web Development,2110,7156,4,28-02-2023,UPI
PO_2177,Web Development,19672,48189,4,24-02-2024,Cash
PO_2178,Software Development,12097,44034,6,09-08-2023,UPI
PO_2179,SEO,7104,17877,5,01-05-2024,UPI
PO_2180,App Development,13374,37512,5,12-05-2023,UPI
PO_2181,Web Development,9764,25088,3,22-07-2023,Bank Transfer
PO_2182,App Development,18203,48792,6,18-06-2024,Bank Transfer
PO_2183,Web Development,3110,9552,5,23-11-2023,Bank Transfer
PO_2184,App Development,6691,25282,6,28-04-2024,Cash
PO_2185,Software Development,10566,28678,4,19-05-2024,UPI
PO_2186,Election Campaign,8423,25024,3,26-08-2023,Bank Transfer
PO_2187,Election Campaign,3337,9157,5,12-03-2024,Bank Transfer
PO_2188,App Development,10313,34416,6,16-11-2023,Cash
PO_2189,App Development,10525,29355,5,02-08-2023,Bank Transfer
PO_2190,LOGO DESIGN,10428,32818,5,11-05-2024,Bank Transfer
PO_2191,SEO,8916,26201,4,16-12-2023,Bank Transfer
PO_2192,SEO,7561,24322,4,01-08-2023,Cash
PO_2193,Election Campaign,2841,10651,3,30-03-2024,UPI
PO_2194,App Development,3073,11708,5,12-03-2023,Cash
PO_2195,Election Campaign,11964,30470,6,02-06-2023,Cash
PO_2196,Election Campaign,17092,40055,3,11-07-2023,UPI
PO_2197,Election Campaign,6493,16139,4,26-05-2024,Cash
PO_2198,SEO,4259,11170,3,27-04-2024,UPI
PO_2199,App Development,11418,29872,4,10-07-2023,Bank Transfer
PO_2200,Web Development,15823,37258,4,20-07-2023,Bank Transfer
PO_2201,Election Campaign,11286,25670,4,29-08-2023,Cash
PO_2202,Web Development,8343,19908,6,01-05-2024,Cash
PO_2203,App Development,4654,12931,4,14-01-2023,Cash
PO_2204,Web Development,8609,22524,6,09-03-2024,Bank Transfer
PO_2205,LOGO DESIGN,3600,10825,5,02-05-2023,Cash
PO_2206,Election Campaign,18073,44816,5,03-11-2023,Bank Transfer
PO_2207,Election Campaign,2311,6076,4,17-10-2023,UPI
PO_2208,Web Development,16081,37784,6,08-02-2023,Cash
PO_2209,Election Campaign,12032,34504,7,16-02-2024,Cash
PO_2210,Software Development,9450,31899,5,06-05-2023,UPI
PO_2211,Election Campaign,12160,29747,2,20-03-2024,Cash
PO_2212,LOGO DESIGN,13738,47360,6,05-12-2023,Cash
PO_2213,App Development,3178,10204,5,21-09-2023,UPI
PO_2214,SEO,8439,25061,3,05-05-2024,Cash
PO_2215,Software Development,11142,38394,3,23-06-2024,UPI
PO_2216,SEO,8019,23829,5,20-06-2023,UPI
PO_2217,Software Development,16810,48586,5,19-10-2023,Cash
PO_2218,SEO,7789,22675,5,17-01-2024,Bank Transfer
PO_2219,Web Development,18283,46062,5,14-09-2023,Bank Transfer
PO_2220,Software Development,11514,32402,4,22-09-2023,Bank Transfer
PO_2221,LOGO DESIGN,15517,40775,5,03-12-2023,UPI
PO_2222,LOGO DESIGN,8315,28231,4,14-02-2024,Bank Transfer
PO_2223,Web Development,5726,17811,5,20-08-2023,Bank Transfer
PO_2224,Software Development,15433,46503,4,31-08-2023,Bank Transfer
PO_2225,SEO,8674,19546,6,11-05-2024,Bank Transfer
PO_2226,LOGO DESIGN,8043,29669,7,26-10-2023,Bank Transfer
PO_2227,SEO,11448,30931,7,31-10-2023,UPI
PO_2228,Software Development,12238,38353,6,15-02-2023,Cash
PO_2229,App Development,12552,32273,4,18-02-2023,UPI
PO_2230,SEO,13074,36185,5,02-02-2024,Cash
PO_2231,SEO,15588,43215,5,03-06-2024,Bank Transfer
PO_2232,App Development,10836,40741,3,16-03-2024,Cash
PO_2233,SEO,20051,49609,5,23-01-2024,Cash
PO_2234,Web Development,2167,8349,6,13-09-2023,UPI
PO_2235,LOGO DESIGN,10599,30281,5,28-11-2023,Bank Transfer
PO_2236,SEO,2749,10103,3,08-06-2023,Bank Transfer
PO_2237,Election Campaign,14540,43970,4,26-05-2023,UPI
PO_2238,Election Campaign,6048,19535,5,13-11-2023,Cash
PO_2239,Election Campaign,8536,27264,5,02-02-2024,Bank Transfer
PO_2240,LOGO DESIGN,2668,6765,4,23-03-2023,Cash
PO_2241,SEO,3473,11387,6,03-06-2023,Cash
PO_2242,Web Development,6930,21174,5,11-01-2024,Bank Transfer
PO_2243,App Development,12194,24253,4,10-06-2023,Bank Transfer
PO_2244,Web Development,9663,24190,6,28-05-2023,Cash
PO_2245,Software Development,6657,18220,6,20-03-2023,Cash
PO_2246,Election Campaign,13107,40676,5,15-01-2023,Bank Transfer
PO_2247,Election Campaign,5133,13717,6,09-04-2023,Cash
PO_2248,Web Development,6429,18666,6,04-10-2023,Bank Transfer
PO_2249,LOGO DESIGN,8260,21257,6,22-02-2024,Cash
PO_2250,Software Development,4354,10956,3,10-03-2024,UPI
PO_2251,Web Development,10562,26777,3,02-05-2024,Cash
PO_2252,Software Development,20269,49369,3,09-02-2023,UPI
PO_2253,App Development,12105,33724,4,26-02-2024,UPI
PO_2254,Web Development,15486,39742,4,23-06-2023,Cash
PO_2255,SEO,10274,29977,5,10-11-2023,Bank Transfer
PO_2256,LOGO DESIGN,4868,14996,6,06-10-2023,Cash
PO_2257,LOGO DESIGN,2623,8397,6,31-12-2023,Bank Transfer
PO_2258,Web Development,9754,25532,5,01-07-2023,Cash
PO_2259,Election Campaign,5408,12771,3,29-02-2024,Cash
PO_2260,Software Development,15480,40637,6,28-03-2024,UPI
PO_2261,App Development,10382,38961,6,24-09-2023,UPI
PO_2262,Web Development,1771,6156,6,26-02-2024,UPI
PO_2263,Web Development,15190,45604,5,23-06-2024,Bank Transfer
PO_2264,SEO,16756,42666,5,25-01-2023,UPI
PO_2265,Software Development,19849,47180,7,21-02-2024,Cash
PO_2266,SEO,12318,39336,5,10-05-2024,Cash
PO_2267,LOGO DESIGN,11767,33422,5,20-03-2024,Cash
PO_2268,Web Development,12768,36568,4,26-05-2023,Cash
PO_2269,Software Development,10312,37258,5,25-09-2023,UPI
PO_2270,SEO,16062,46086,2,09-03-2023,UPI
PO_2271,LOGO DESIGN,5591,16479,5,10-10-2023,Cash
PO_2272,Web Development,3274,8834,5,18-03-2023,UPI
PO_2273,SEO,12738,42906,5,16-11-2023,UPI
PO_2274,Web Development,13016,38719,5,12-06-2023,UPI
PO_2275,App Development,12406,32828,5,11-01-2023,Bank Transfer
PO_2276,Web Development,6997,16060,5,11-10-2023,Cash
PO_2277,Election Campaign,3556,11390,5,17-07-2023,Bank Transfer
PO_2278,LOGO DESIGN,6872,27954,5,25-10-2023,Cash
PO_2279,Software Development,6081,15613,5,17-03-2023,Cash
PO_2280,SEO,2700,7208,7,20-12-2023,UPI
PO_2281,App Development,16697,43082,6,19-08-2023,Cash
PO_2282,SEO,9219,26733,5,23-02-2023,Cash
PO_2283,SEO,12287,45673,5,30-03-2023,UPI
PO_2284,Software Development,6500,22722,5,02-04-2023,UPI
PO_2285,SEO,13047,36436,7,24-01-2024,Cash
PO_2286,SEO,14734,38301,5,06-11-2023,Bank Transfer
PO_2287,App Development,9737,29424,6,15-03-2024,UPI
PO_2288,LOGO DESIGN,13508,47514,6,07-01-2023,Cash
PO_2289,Web Development,10512,26094,6,15-05-2024,UPI
PO_2290,SEO,8147,21403,6,02-09-2023,UPI
PO_2291,Web Development,3315,13889,3,04-02-2023,Bank Transfer
PO_2292,App Development,10382,31351,6,08-02-2023,Bank Transfer
PO_2293,LOGO DESIGN,15809,48246,6,28-05-2024,UPI
PO_2294,App Development,4884,14403,7,07-11-2023,Cash
PO_2295,Election Campaign,12715,30049,5,25-01-2024,Cash
PO_2296,LOGO DESIGN,5670,15992,6,12-03-2024,Cash
PO_2297,App Development,12100,37902,5,01-05-2023,Cash
PO_2298,Web Development,9676,24085,4,17-02-2024,Bank Transfer
PO_2299,App Development,12683,42608,5,22-05-2024,Bank Transfer
PO_2300,LOGO DESIGN,8926,29018,5,20-02-2023,Bank Transfer
PO_2301,Election Campaign,2057,7479,6,02-03-2024,UPI
PO_2302,SEO,7050,19355,5,30-07-2023,Bank Transfer
PO_2303,Web Development,3117,9202,5,27-07-2023,UPI
PO_2304,App Development,8868,25097,4,18-07-2023,UPI
PO_2305,SEO,5126,14495,5,16-04-2024,Cash
PO_2306,LOGO DESIGN,2301,6823,7,25-06-2023,UPI
PO_2307,Web Development,6887,18994,6,18-02-2023,Bank Transfer
PO_2308,Web Development,8190,21562,4,25-06-2023,Cash
PO_2309,App Development,13352,41540,6,25-09-2023,Cash
PO_2310,Web Development,10912,38428,6,18-06-2024,UPI
PO_2311,Web Development,9610,24307,6,30-09-2023,UPI
PO_2312,Web Development,9973,23687,6,27-11-2023,Bank Transfer
PO_2313,App Development,9539,35555,4,12-04-2024,UPI
PO_2314,Web Development,2054,6914,6,22-03-2024,UPI
PO_2315,SEO,15244,45122,6,21-01-2024,Bank Transfer
PO_2316,Software Development,14109,45809,6,11-03-2024,UPI
PO_2317,SEO,16170,48613,5,02-01-2024,Bank Transfer
PO_2318,SEO,11624,35447,6,12-09-2023,UPI
PO_2319,Web Development,5706,17904,5,18-02-2023,Cash
PO_2320,App Development,2926,7568,6,24-02-2023,UPI
PO_2321,Web Development,12680,31778,4,30-05-2024,Cash
PO_2322,Web Development,11264,33869,5,06-05-2024,Cash
PO_2323,App Development,5937,18743,4,16-09-2023,Bank Transfer
PO_2324,App Development,2976,8375,5,18-09-2023,Cash
PO_2325,Software Development,15993,37689,6,26-05-2024,Bank Transfer
PO_2326,LOGO DESIGN,18177,48920,5,11-11-2023,Bank Transfer
PO_2327,App Development,13642,39950,7,20-11-2023,Cash
PO_2328,App Development,10801,29959,6,29-06-2023,UPI
PO_2329,Software Development,16138,45091,4,07-03-2024,Cash
PO_2330,Software Development,4709,13294,5,31-05-2024,Bank Transfer
PO_2331,LOGO DESIGN,7294,22058,4,01-10-2023,Cash
PO_2332,LOGO DESIGN,14033,43068,2,29-10-2023,Bank Transfer
PO_2333,LOGO DESIGN,13664,41925,5,10-01-2023,UPI
PO_2334,Election Campaign,10953,30434,4,03-12-2023,UPI
PO_2335,LOGO DESIGN,8024,18769,5,25-01-2024,Bank Transfer
PO_2336,App Development,7759,23464,4,09-07-2023,UPI
PO_2337,Election Campaign,2316,11074,5,21-07-2023,Cash
PO_2338,SEO,15592,40798,5,16-08-2023,UPI
PO_2339,Software Development,14809,42056,4,22-03-2024,UPI
PO_2340,Web Development,7372,21814,4,17-01-2024,Cash
PO_2341,Election Campaign,16859,46318,6,30-12-2023,Cash
PO_2342,LOGO DESIGN,10114,30009,4,19-02-2023,UPI
PO_2343,Election Campaign,10937,42990,5,25-07-2023,Cash
PO_2344,SEO,3538,9703,5,23-01-2024,Cash
PO_2345,Election Campaign,14408,43047,5,21-02-2024,UPI
PO_2346,LOGO DESIGN,6142,17407,5,12-07-2023,Cash
PO_2347,SEO,14341,36111,4,04-01-2024,UPI
PO_2348,Election Campaign,15517,40424,4,19-03-2024,Bank Transfer
PO_2349,Election Campaign,9615,31521,6,06-09-2023,UPI
PO_2350,Software Development,2589,7938,5,30-05-2023,UPI
PO_2351,Web Development,13098,40922,7,08-03-2024,UPI
PO_2352,App Development,8405,25727,5,24-03-2024,Cash
PO_2353,Software Development,7874,22111,5,29-05-2024,UPI
PO_2354,Web Development,3372,10488,4,23-08-2023,Cash
PO_2355,Web Development,4717,14492,5,01-04-2023,UPI
PO_2356,App Development,3629,10673,3,03-03-2023,Bank Transfer
PO_2357,Election Campaign,3955,9773,5,18-03-2023,UPI
PO_2358,SEO,4031,9643,7,31-10-2023,Cash
PO_2359,Software Development,12627,41235,7,07-08-2023,UPI
PO_2360,Web Development,5845,16838,4,07-05-2024,UPI
PO_2361,Election Campaign,4364,10105,4,12-06-2023,Cash
PO_2362,Election Campaign,2473,6607,2,17-09-2023,Bank Transfer
PO_2363,LOGO DESIGN,12682,28025,6,14-05-2023,Cash
PO_2364,Web Development,12173,34048,5,21-03-2024,Bank Transfer
PO_2365,Web Development,5693,15875,5,05-06-2023,UPI
PO_2366,Software Development,17856,46373,4,02-11-2023,Bank Transfer
PO_2367,LOGO DESIGN,5765,16339,3,14-09-2023,UPI
PO_2368,Election Campaign,10259,35023,5,10-05-2024,Bank Transfer
PO_2369,LOGO DESIGN,15578,39534,5,27-03-2023,Bank Transfer
PO_2370,App Development,4038,10439,5,24-06-2024,Bank Transfer
PO_2371,Software Development,1753,7753,5,06-01-2023,Cash
PO_2372,LOGO DESIGN,4665,15592,4,05-04-2023,Cash
PO_2373,App Development,7806,24408,4,04-06-2023,UPI
PO_2374,LOGO DESIGN,11805,42544,5,25-01-2024,UPI
PO_2375,Web Development,10615,34992,4,05-03-2023,Cash
PO_2376,Web Development,7323,27084,4,08-02-2023,Bank Transfer
PO_2377,Web Development,5510,13891,6,15-11-2023,UPI
PO_2378,App Development,6478,19763,4,29-05-2023,UPI
PO_2379,SEO,13794,39032,6,26-02-2024,Bank Transfer
PO_2380,SEO,17362,44147,4,29-09-2023,Bank Transfer
PO_2381,Software Development,7418,26175,5,23-06-2023,Cash
PO_2382,SEO,13045,42723,5,07-02-2024,Cash
PO_2383,Web Development,13315,41087,5,06-05-2023,UPI
PO_2384,SEO,13282,45806,6,03-12-2023,UPI
PO_2385,Software Development,12289,32593,5,15-06-2024,UPI
PO_2386,SEO,13351,42008,5,22-05-2023,Bank Transfer
PO_2387,SEO,6412,20779,6,15-05-2024,UPI
PO_2388,SEO,15991,42990,6,27-04-2024,Cash
PO_2389,Election Campaign,4487,14253,4,28-07-2023,UPI
PO_2390,Software Development,10499,33193,5,21-05-2024,Cash
PO_2391,Software Development,16165,37881,4,18-06-2023,Bank Transfer
PO_2392,App Development,6796,19329,3,18-06-2024,Cash
PO_2393,Web Development,5345,15937,4,11-06-2023,Bank Transfer
PO_2394,Election Campaign,17274,45551,5,14-02-2023,Cash
PO_2395,App Development,5348,14171,5,25-09-2023,Cash
PO_2396,Web Development,1729,6122,5,28-01-2023,UPI
PO_2397,Software Development,15992,43270,5,21-03-2024,Cash
PO_2398,Software Development,7130,26165,3,04-10-2023,Bank Transfer
PO_2399,Election Campaign,12982,38172,5,03-02-2024,Cash
PO_2400,LOGO DESIGN,2275,7815,5,23-09-2023,Bank Transfer
PO_2401,Election Campaign,12264,35361,4,19-11-2023,Bank Transfer
PO_2402,LOGO DESIGN,12387,39766,5,10-05-2023,Bank Transfer
PO_2403,App Development,6827,23136,5,21-04-2024,Cash
PO_2404,SEO,8375,24467,4,30-03-2023,UPI
PO_2405,SEO,5131,18026,4,27-02-2024,Cash
PO_2406,LOGO DESIGN,12277,34568,5,08-01-2024,Bank Transfer
PO_2407,SEO,10766,30664,3,31-01-2024,Cash
PO_2408,App Development,3505,10066,6,06-04-2024,Cash
PO_2409,Software Development,3392,8887,5,07-08-2023,Bank Transfer
PO_2410,App Development,3702,8212,6,05-02-2023,Bank Transfer
PO_2411,LOGO DESIGN,15510,48613,5,18-02-2024,Cash
PO_2412,Election Campaign,2005,7150,6,10-05-2024,Cash
PO_2413,App Development,6304,16469,6,14-07-2023,Bank Transfer
PO_2414,Election Campaign,5011,18486,5,29-12-2023,UPI
PO_2415,Election Campaign,3096,9181,6,27-01-2024,Bank Transfer
PO_2416,App Development,4828,12567,6,01-12-2023,Bank Transfer
PO_2417,LOGO DESIGN,7502,35623,6,28-12-2023,Bank Transfer
PO_2418,Web Development,2046,5807,7,05-08-2023,Bank Transfer
PO_2419,App Development,13261,41814,4,10-04-2023,Cash
PO_2420,Web Development,13390,40940,6,07-04-2024,Cash
PO_2421,LOGO DESIGN,11166,27281,5,22-12-2023,Cash
PO_2422,SEO,2817,7976,4,12-05-2023,Cash
PO_2423,SEO,17549,40944,5,13-08-2023,Cash
PO_2424,SEO,7367,17648,4,01-07-2023,Cash
PO_2425,LOGO DESIGN,11280,28829,5,05-08-2023,UPI
PO_2426,LOGO DESIGN,5201,11997,5,16-03-2023,Cash
PO_2427,SEO,4513,17059,6,06-01-2023,Bank Transfer
PO_2428,Election Campaign,20023,48146,5,18-05-2023,UPI
PO_2429,LOGO DESIGN,6800,22707,5,02-06-2024,UPI
PO_2430,LOGO DESIGN,9072,23412,2,29-12-2023,UPI
PO_2431,App Development,14499,39989,5,20-03-2024,UPI
PO_2432,SEO,2367,7143,5,15-12-2023,Bank Transfer
PO_2433,Software Development,2070,5185,6,18-06-2024,Cash
PO_2434,App Development,17613,45405,3,03-04-2023,Cash
